Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
algerrar,2,"['lveesf', 2]",algerar,3,"['lvfnsf', 2, 'lvfosf', 1]",TRUE,FALSE,2
algjörrar,2,"['lveesf', 2]",algjörar,5,"['lvfnsf', 4, 'lvfosf', 1]",TRUE,FALSE,2
algjörri,12,"['lveþsf', 12]",algjöri,1,"['lkenvf', 1]",TRUE,FALSE,1
angurværra,1,"['lkfesf', 1]",angurværa,4,"['lveosf', 2, 'lkfosf', 2]",TRUE,FALSE,1
annarr,1,"['nkens', 1]",annar,993,"['foken', 988, 'nkens', 2, 'nvfo', 1, 'nvee', 1, 'sfg3en', 1]",FALSE,FALSE,1
annarra,639,"['fokfe', 458, 'fohfe', 108, 'fovfe', 73]",annara,15,"['fokfe', 8, 'fovfe', 4, 'lheovm', 2, 'lhenvm', 1]",FALSE,FALSE,15
annarri,631,"['foveþ', 610, 'lveþsf', 18, 'lveþvf', 3]",annari,9,"['x', 6, 'foveþ', 3]",FALSE,FALSE,9
arðbærrar,1,"['lveesf', 1]",arðbærar,1,"['lvfosf', 1]",TRUE,FALSE,1
arri,1,"['svg1en', 1]",ari,444,"['nkens', 426, 'nken', 11, 'nheþ', 5, 'nkfo', 1, 'lveþsf', 1]",TRUE,FALSE,1
barr,7,"['nheo', 5, 'nhen', 2]",bar,1175,"['sfg3eþ', 1055, 'sfg1eþ', 68, 'nkeo', 23, 'nkeþ', 9, 'nhen', 5, 'aa', 5, 'e', 5, 'nken', 3, 'sfg3en', 1, 'sfg3fþ', 1]",FALSE,FALSE,7
barrið,3,"['nheng', 2, 'nheog', 1]",barið,59,"['nheng', 32, 'ssg', 18, 'nheog', 5, 'lhensf', 4]",FALSE,FALSE,3
berri,1,"['lveþsf', 1]",beri,148,"['svg3en', 122, 'svg3fn', 14, 'nken', 6, 'nheþ', 4, 'svg1en', 1, 'lkenvf', 1]",TRUE,FALSE,1
dýrra,1,"['lhfesf', 1]",dýra,73,"['nhfe', 52, 'lveosf', 6, 'nheo', 6, 'lkeovf', 3, 'lkfosf', 2, 'lheþvf', 1, 'nkeþs', 1, 'lhenvf', 1, 'nheþ', 1]",TRUE,FALSE,1
dýrri,1,"['lveþsf', 1]",dýri,24,"['nheþ', 22, 'lkenvf', 2]",TRUE,FALSE,1
eignarréttur,6,"['nken', 6]",eignaréttur,2,"['nken', 2]",FALSE,TRUE,2
einskærri,19,"['lveþsf', 19]",einskæri,1,"['lkenvf', 1]",TRUE,FALSE,1
