Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
blésu,19,"['sfg3fþ', 19]",blesu,1,"['nveo', 1]",True,False
marséraði,4,"['sfg3eþ', 4]",marseraði,1,"['sfg3eþ', 1]",False,True
fléttur,30,"['nvfo', 22, 'nvfn', 8]",flettur,5,"['nvfo', 3, 'nvfn', 2]",False,True
spásséra,7,"['sng', 6, 'sfg3fn', 1]",spássera,2,"['sng', 2]",False,False
slétt,61,"['lvensf', 23, 'lhensf', 18, 'lheosf', 11, 'ssg', 4, 'lhfnsf', 3, 'lhfosf', 2]",slett,7,"['ssg', 7]",False,False
stélið,1,"['nheog', 1]",stelið,1,"['sfg2fn', 1]",True,False
éti,7,"['svg3en', 6, 'svg1en', 1]",eti,1,"['svg3fn', 1]",True,False
léttar,67,"['aam', 41, 'lvfosf', 12, 'lvfnsf', 9, 'nkfn', 4, 'aa', 1]",lettar,1,"['nkfns', 1]",True,False
séns,30,"['nkeo', 19, 'nken', 8, 'nkee', 1, 'nkeþ', 1, 'lheesf', 1]",sens,3,"['nkeo', 3]",False,False
héri,3,"['nken', 3]",heri,5,"['nkfo', 5]",True,False
tréð,45,"['nheog', 25, 'nheng', 20]",treð,5,"['sfg1en', 5]",True,False
féllst,61,"['sfm3eþ', 49, 'sfm1eþ', 8, 'sfm2eþ', 3, 'sfg2eþ', 1]",fellst,14,"['sfm3en', 11, 'sfm1en', 2, 'sfm2en', 1]",True,False
prédikunarstólinn,1,"['nkeog', 1]",predikunarstólinn,1,"['nkeog', 1]",False,True
prédikaði,7,"['sfg3eþ', 6, 'sfg1eþ', 1]",predikaði,2,"['sfg3eþ', 2]",False,False
flétti,1,"['sfg3eþ', 1]",fletti,96,"['sfg3eþ', 73, 'sfg1en', 12, 'sfg1eþ', 9, 'svg3eþ', 2]",False,False
flétta,14,"['sng', 11, 'nven', 3]",fletta,89,"['sng', 86, 'nven', 2, 'lheþvf', 1]",False,False
véfengdi,1,"['sfg3eþ', 1]",vefengdi,2,"['sfg3eþ', 1, 'svg3eþ', 1]",False,False
slétti,7,"['sfg3eþ', 5, 'svg3eþ', 1, 'lkenvf', 1]",sletti,24,"['sfg3eþ', 12, 'sfg1eþ', 9, 'svg3en', 3]",False,False
snérist,2,"['sfm3eþ', 2]",snerist,176,"['sfm3eþ', 166, 'sfm1eþ', 9, 'sfm2eþ', 1]",False,False
réri,4,"['sfg3eþ', 3, 'svg3eþ', 1]",reri,45,"['sfg3eþ', 31, 'svg3eþ', 9, 'sfg1eþ', 5]",False,False
prédikanir,7,"['nvfo', 4, 'nvfn', 3]",predikanir,1,"['nvfo', 1]",False,False
prédikun,6,"['nveo', 6]",predikun,3,"['nven', 2, 'nveo', 1]",False,False
sléttir,13,"['lkfnsf', 10, 'sfg3en', 3]",slettir,20,"['sfg3en', 18, 'sfg2eþ', 1, 'sfg2en', 1]",False,False
sléttan,8,"['lkeosf', 6, 'nveng', 2]",slettan,1,"['nveng', 1]",False,False
slétta,22,"['sng', 17, 'lveosf', 2, 'lhenvf', 1, 'lkfosf', 1, 'nvfe', 1]",sletta,67,"['sng', 41, 'nven', 18, 'sfg3fn', 8]",False,False
blési,7,"['svg3eþ', 6, 'svg1eþ', 1]",blesi,7,"['nkens', 7]",True,False
véfengja,4,"['sng', 4]",vefengja,6,"['sfg3fn', 6]",True,False
frést,6,"['ssm', 6]",frest,47,"['nkeo', 47]",True,False
prédikarinn,3,"['nkeng', 2, 'nkengs', 1]",predikarinn,5,"['nkeng', 5]",False,False
sléttunum,2,"['nvfþg', 2]",slettunum,5,"['nvfþg', 5]",False,True
fléttum,5,"['nvfþ', 5]",flettum,9,"['sfg1fn', 7, 'svg1fn', 1, 'sfg1fþ', 1]",True,False
étinn,2,"['lkensf', 2]",etinn,1,"['lkensf', 1]",False,True
snéri,30,"['sfg3eþ', 28, 'sfg1eþ', 2]",sneri,848,"['sfg3eþ', 756, 'sfg1eþ', 78, 'svg3eþ', 14]",False,False
prédikara,1,"['nkeþ', 1]",predikara,2,"['nkee', 1, 'nkeþ', 1]",False,False
slétturnar,2,"['nvfng', 2]",sletturnar,8,"['nvfog', 5, 'nvfng', 3]",False,False
fés,4,"['nheo', 3, 'nhfo', 1]",fes,3,"['nhen', 3]",True,False
ét,2,"['sfg1en', 2]",et,12,"['e', 8, 'x', 3, 'sfg1en', 1]",False,False
viðhélst,1,"['sfm3eþ', 1]",viðhelst,3,"['sfm3en', 3]",True,False
sortéra,2,"['sng', 2]",sortera,5,"['sng', 5]",False,True
kortéri,4,"['nheþ', 4]",korteri,3,"['nheþ', 3]",False,True
réru,5,"['sfg3fþ', 5]",reru,28,"['sfg3fþ', 28]",False,True
snéru,2,"['sfg3fþ', 2]",sneru,94,"['sfg3fþ', 92, 'svg3fþ', 2]",False,False
hringsnérist,1,"['sfm3eþ', 1]",hringsnerist,18,"['sfm3eþ', 18]",False,True
spásséraði,1,"['sfg3eþ', 1]",spásseraði,1,"['sfg3eþ', 1]",False,True
méla,1,"['sng', 1]",mela,9,"['nkfo', 5, 'nkfos', 4]",True,False
sléttist,2,"['sfm3eþ', 1, 'sfm3en', 1]",slettist,12,"['sfm3eþ', 11, 'sfm1fþ', 1]",False,False
kortérs,2,"['nhee', 2]",korters,1,"['nhee', 1]",False,True
héra,2,"['nkeo', 1, 'nkeþ', 1]",hera,6,"['nvens', 6]",True,False
grasséra,1,"['sng', 1]",grassera,4,"['sng', 3, 'sfg3fn', 1]",False,False
kavalérinn,1,"['nkeng', 1]",kavalerinn,2,"['nkeng', 2]",False,True
prédikarans,3,"['nkeeg', 3]",predikarans,3,"['nkeeg', 3]",False,True
prédikuðu,1,"['sfg3fþ', 1]",predikuðu,1,"['sfg3fþ', 1]",False,True
prédikaranum,2,"['nkeþg', 2]",predikaranum,1,"['nkeþg', 1]",False,True
prédikari,2,"['nken', 2]",predikari,28,"['nken', 28]",False,True
óvéfengjanleg,1,"['lhfnsf', 1]",óvefengjanleg,1,"['lvensf', 1]",True,False
