Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
síðir,97,"['nvfo', 93, 'lkfnsf', 4]",siðir,5,"['nkfn', 5]",True,False
vísna,4,"['nvfe', 4]",visna,7,"['sng', 3, 'sfg3fn', 2, 'nven', 1, 'lheovf', 1]",True,False
bílar,82,"['nkfn', 80, 'sfg3en', 2]",bilar,9,"['sfg3en', 8, 'nvee', 1]",False,False
kvíði,46,"['nken', 30, 'sfg1en', 15, 'svg3fn', 1]",kviði,13,"['nkeþ', 9, 'svg3en', 1, 'svg3eþ', 1, 'nkfo', 1, 'svg3fn', 1]",False,False
bílum,78,"['nkfþ', 76, 'sfg1fn', 1, 'nvfþ', 1]",bilum,2,"['nhfþ', 2]",True,False
líður,540,"['sfg3en', 540]",liður,46,"['nken', 46]",True,False
fríður,23,"['lkensf', 23]",friður,96,"['nken', 94, 'nkens', 2]",True,False
skríður,46,"['sfg3en', 46]",skriður,30,"['nken', 21, 'nvfn', 7, 'nvfo', 2]",True,False
vín,182,"['nheo', 110, 'nhen', 40, 'nhfo', 11, 'nvens', 6, 'nveþ', 5, 'nhfn', 3, 'nven', 3, 'nveo', 2, 'nveþs', 2]",vin,221,"['nkeo', 169, 'nven', 19, 'nveo', 15, 'e', 12, 'nveþ', 5, 'nkeþ', 1]",False,False
fínn,80,"['lkensf', 80]",finn,392,"['sfg1en', 354, 'nkeos', 16, 'nkens', 9, 'nkeþs', 7, 'sbg2en', 6]",True,False
línu,116,"['nveþ', 35, 'nveo', 34, 'nvees', 18, 'nveþs', 17, 'nveos', 8, 'nvee', 3, 'nveo', 1]",linu,4,"['lheþsf', 1, 'lhfnvf', 1, 'lvfovf', 1, 'lkfþvf', 1]",True,False
bítið,21,"['nheog', 21]",bitið,38,"['ssg', 32, 'nheog', 2, 'lheosf', 1, 'sbg2fn', 1, 'nheng', 1, 'lhensf', 1]",False,False
skín,79,"['sfg3en', 78, 'sbg2en', 1]",skin,11,"['nhen', 7, 'nheo', 3, 'nhfo', 1]",True,False
partí,61,"['nheo', 28, 'nhen', 18, 'nhfo', 13, 'nhfn', 2]",parti,8,"['nkeþ', 8]",True,False
síga,130,"['sng', 123, 'sfg3fn', 7]",siga,5,"['sng', 5]",False,False
skríða,147,"['sng', 132, 'sfg3fn', 15]",skriða,5,"['nven', 5]",True,False
línan,17,"['nveng', 17]",linan,4,"['lkeosf', 4]",True,False
skíma,13,"['nven', 9, 'sng', 4]",skima,38,"['sng', 32, 'sfg1en', 6]",False,False
stíga,225,"['sng', 183, 'sfg3fn', 26, 'nkfo', 15, 'nkfe', 1]",stiga,102,"['nhfe', 51, 'nkeo', 27, 'nkeþ', 18, 'nkfo', 6]",False,False
lína,131,"['nvens', 64, 'nven', 46, 'nvfe', 9, 'nkees', 4, 'nkfo', 3, 'nkeos', 2, 'nkfe', 2, 'nkeþs', 1]",lina,24,"['sng', 12, 'lveosf', 4, 'lkfosf', 2, 'sfg3fn', 2, 'sfg1en', 1, 'lheovf', 1, 'lhenvf', 1, 'lvenvf', 1]",True,False
grípa,241,"['sng', 217, 'sfg3fn', 21, 'nkfe', 3]",gripa,5,"['nkfe', 3, 'nhfe', 1, 'nhens', 1]",False,False
lítast,17,"['snm', 14, 'sfm3fn', 3]",litast,35,"['snm', 25, 'ssm', 4, 'sfm3en', 4, 'lhense', 1, 'sfm3fn', 1]",False,False
hlíðum,36,"['nvfþ', 31, 'nvfþs', 5]",hliðum,34,"['nvfþ', 34]",False,False
víð,50,"['nveþ', 33, 'nveo', 11, 'lvensf', 4, 'nven', 1, 'lhfnsf', 1]",við,58959,"['ao', 34143, 'fp1fn', 17112, 'aa', 5588, 'aþ', 2012, 'nheog', 52, 'nheng', 31, 'nkeo', 6, 'nkeþ', 4, 'nven', 4, 'nheog', 2, 'nveo', 2, 'sfg1eþ', 1, 'nhfþ', 1, 'nkeo', 1]",False,False
skítnum,15,"['nkeþg', 15]",skitnum,1,"['lkfþsf', 1]",True,False
ríma,17,"['sng', 11, 'sfg3fn', 5, 'nhfe', 1]",rima,2,"['nkee', 1, 'nkfes', 1]",True,False
svífa,72,"['sng', 46, 'sfg3fn', 26]",svifa,2,"['nhfe', 2]",True,False
millímetra,5,"['nkeo', 5]",millimetra,10,"['nkfe', 5, 'nkfo', 3, 'nkeo', 2]",False,False
rísa,162,"['sng', 116, 'sfg3fn', 44, 'nhfe', 2]",risa,16,"['nkeþ', 6, 'nkee', 3, 'nkeo', 3, 'nhfe', 3, 'nkfo', 1]",False,False
stígum,10,"['nkfþ', 6, 'sfg1fn', 4]",stigum,63,"['nhfþ', 34, 'sfg1fþ', 27, 'nkfþ', 2]",False,False
hlíðinni,50,"['nveþg', 50]",hliðinni,35,"['nveþg', 35]",False,True
grípur,200,"['sfg3en', 192, 'nken', 5, 'sfg2en', 3]",gripur,17,"['nken', 17]",False,False
líði,89,"['svg3en', 63, 'nheþ', 19, 'svg3fn', 6, 'svg1en', 1]",liði,260,"['nheþ', 123, 'svg3eþ', 106, 'nkfo', 17, 'nkeþ', 10, 'nken', 3, 'svg3fn', 1]",False,False
línum,31,"['nvfþ', 30, 'nkfþ', 1]",linum,3,"['lkeþsf', 1, 'lhfþsf', 1, 'lkfþsf', 1]",True,False
pappír,93,"['nkeþ', 42, 'nken', 26, 'nkeo', 25]",pappir,1,"['svg2en', 1]",True,False
tíndum,7,"['sfg1fþ', 4, 'svg1fþ', 2, 'lkfþsf', 1]",tindum,13,"['nkfþ', 11, 'nkfþs', 2]",True,False
ríða,156,"['sng', 144, 'sfg3fn', 12]",riða,5,"['sng', 2, 'nhfe', 1, 'sfg1en', 1, 'nven', 1]",False,False
slítur,29,"['sfg3en', 29]",slitur,14,"['nheo', 8, 'nhfn', 4, 'nhfo', 1, 'nhen', 1]",True,False
kvíðinn,42,"['lkensf', 26, 'nkeng', 16]",kviðinn,21,"['nkeog', 21]",True,False
þrífa,78,"['sng', 75, 'sfg3fn', 3]",þrifa,1,"['nhfe', 1]",True,False
línið,4,"['nheog', 4]",linið,1,"['sbg2fn', 1]",True,False
lím,17,"['nheo', 12, 'nhen', 4, 'nhfo', 1]",lim,6,"['nkeo', 3, 'nheo', 2, 'nhen', 1]",False,False
líma,35,"['sng', 19, 'nkeo', 9, 'nkeþ', 5, 'nkfe', 1, 'sfg3fn', 1]",lima,5,"['nvfe', 4, 'sbg2en', 1]",True,False
líminu,2,"['nheþg', 2]",liminu,1,"['nheþg', 1]",False,True
nísti,14,"['sfg3eþ', 14]",nisti,7,"['nheþ', 3, 'nhfn', 1, 'nkeþ', 1, 'nhen', 1, 'nheo', 1]",True,False
bísað,1,"['lhensf', 1]",bisað,1,"['ssg', 1]",True,False
