Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
álitinn,16,"['sþgken', 16]",álitin,15,"['sþgven', 9, 'nhfng', 2, 'lhfnsf', 2, 'nhfog', 1, 'lvensf', 1]",TRUE,FALSE,15
ánn,1,"['nken', 1]",án,2587,"['ae', 2573, 'aa', 12, 'nkfo', 1, 'nven', 1]",TRUE,FALSE,1
ánna,9,"['nveog', 5, 'nvfeg', 4]",ána,86,"['nveog', 78, 'nkeþ', 4, 'nkeo', 2, 'nkfo', 2]",FALSE,FALSE,9
áranna,24,"['nhfeg', 24]",árana,1,"['nkfog', 1]",TRUE,FALSE,1
áræðinn,5,"['lkensf', 5]",áræðin,2,"['lvensf', 2]",TRUE,FALSE,2
ásanna,1,"['nkfeg', 1]",ásana,2,"['nkfog', 2]",TRUE,FALSE,1
áskilinn,6,"['lkensf', 6]",áskilin,3,"['sþghfn', 2, 'lvensf', 1]",TRUE,FALSE,3
ástfanginn,59,"['lkensf', 59]",ástfangin,67,"['lvensf', 58, 'lhfnsf', 8, 'lhfosf', 1]",TRUE,FALSE,59
ásækinn,1,"['lkensf', 1]",ásækin,1,"['lvensf', 1]",TRUE,FALSE,1
ávítunartónn,1,"['nken', 1]",ávítunartón,2,"['nkeo', 1, 'nkeþ', 1]",TRUE,FALSE,1
babúítanna,10,"['nkfeg', 10]",babúítana,1,"['nkfog', 1]",TRUE,FALSE,1
bagganna,1,"['nkfeg', 1]",baggana,3,"['nkfog', 3]",TRUE,FALSE,1
baldinn,1,"['lkensf', 1]",baldin,1,"['lvensf', 1]",TRUE,FALSE,1
bandingjanna,2,"['nkfeg', 2]",bandingjana,2,"['nkfog', 2]",TRUE,FALSE,2
banna,58,"['sng', 45, 'sfg1en', 7, 'sfg3fn', 4, 'nhfe', 2]",bana,55,"['nkeo', 20, 'nkee', 15, 'sng', 11, 'nkeþ', 8, 'sfg3fn', 1]",FALSE,FALSE,55
bannað,118,"['sþghen', 68, 'lhensf', 27, 'ssg', 23]",banað,4,"['ssg', 4]",FALSE,FALSE,4
bannaði,36,"['sfg3eþ', 26, 'svg3eþ', 6, 'sfg1eþ', 4]",banaði,3,"['sfg3eþ', 3]",FALSE,FALSE,3
bannar,12,"['sfg3en', 12]",banar,3,"['sfg3en', 3]",FALSE,TRUE,3
banni,24,"['nheþ', 23, 'svg3fn', 1]",bani,8,"['nken', 7, 'svg3en', 1]",TRUE,FALSE,8
banvænn,2,"['lkensf', 2]",banvæn,4,"['lvensf', 3, 'lhfosf', 1]",TRUE,FALSE,2
barinn,65,"['nkeog', 44, 'nkeng', 9, 'sþgken', 9, 'lkensf', 3]",barin,5,"['lvensf', 3, 'lhfnsf', 2]",TRUE,FALSE,5
barmanna,1,"['nkfeg', 1]",barmana,3,"['nkfog', 3]",TRUE,FALSE,1
barþjónn,2,"['nken', 2]",barþjón,1,"['nkeo', 1]",TRUE,FALSE,1
bágborinn,4,"['lkensf', 4]",bágborin,1,"['lvensf', 1]",TRUE,FALSE,1
bálskotinn,7,"['lkensf', 7]",bálskotin,1,"['lvensf', 1]",TRUE,FALSE,1
bátanna,1,"['nkfeg', 1]",bátana,19,"['nkfog', 19]",TRUE,FALSE,1
beðinn,66,"['sþgken', 65, 'nkeog', 1]",beðin,38,"['sþgven', 34, 'sþghfn', 2, 'nhfog', 1, 'nhfng', 1]",TRUE,FALSE,38
beinann,1,"['nkeog', 1]",beinan,16,"['lkeosf', 16]",TRUE,FALSE,1
beinbrotinn,2,"['lkensf', 2]",beinbrotin,1,"['nhfng', 1]",TRUE,FALSE,1
beinn,35,"['lkensf', 35]",bein,189,"['lvensf', 48, 'nhfo', 32, 'nheo', 31, 'lhfosf', 25, 'nhen', 23, 'nhfn', 19, 'lhfnsf', 11]",TRUE,FALSE,35
beinna,11,"['lhfesf', 4, 'lkfesf', 3, 'lvfesf', 2, 'lheovm', 1, 'lhenvm', 1]",beina,157,"['sng', 63, 'lveosf', 51, 'nkeo', 16, 'sfg3fn', 11, 'lvenvf', 6, 'lheþvf', 3, 'nhfe', 2, 'lkfosf', 2, 'lkeþvf', 1, 'lkfosf', 1, 'lheovf', 1]",TRUE,FALSE,11
beinnar,4,"['lveesf', 4]",beinar,24,"['lvfnsf', 16, 'lvfosf', 7, 'nkfn', 1]",TRUE,FALSE,4
beinni,54,"['lveþsf', 50, 'lhfnvm', 1, 'lkeovm', 1, 'lveovm', 1, 'lvfþvm', 1]",beini,38,"['nheþ', 25, 'sfg1en', 6, 'svg3en', 4, 'nken', 3]",TRUE,FALSE,38
beinteinn,9,"['nkens', 9]",beintein,1,"['nkeos', 1]",TRUE,FALSE,1
beinvaxinn,1,"['lkensf', 1]",beinvaxin,2,"['lvensf', 1, 'lhfnsf', 1]",TRUE,FALSE,1
bekkjarfélaganna,1,"['nkfeg', 1]",bekkjarfélagana,3,"['nkfog', 3]",TRUE,FALSE,1
berann,1,"['nkeog', 1]",beran,14,"['lkeosf', 14]",TRUE,FALSE,1
berdreyminn,2,"['lkensf', 2]",berdreymin,1,"['lvensf', 1]",TRUE,FALSE,1
bergbúanna,7,"['nkfeg', 7]",bergbúana,6,"['nkfog', 6]",TRUE,FALSE,6
bergnuminn,6,"['lkensf', 6]",bergnumin,8,"['lvensf', 5, 'lhfnsf', 3]",TRUE,FALSE,6
biskupanna,2,"['nkfeg', 2]",biskupana,1,"['nkfog', 1]",TRUE,FALSE,1
biskupssveinanna,3,"['nkfeg', 3]",biskupssveinana,1,"['nkfog', 1]",TRUE,FALSE,1
bitanna,7,"['nhfeg', 4, 'nvfeg', 3]",bitana,13,"['nkfog', 13]",TRUE,FALSE,7
bitinn,14,"['nkeng', 8, 'lkensf', 6]",bitin,9,"['sþgven', 8, 'nveng', 1]",TRUE,FALSE,9
bílanna,5,"['nkfeg', 5]",bílana,25,"['nkfog', 25]",TRUE,FALSE,5
bílstjóranna,2,"['nkfeg', 2]",bílstjórana,2,"['nkfog', 2]",TRUE,FALSE,2
bíræfinn,1,"['lkensf', 1]",bíræfin,2,"['lvensf', 1, 'lhfnsf', 1]",TRUE,FALSE,1
bjargvætturinn,1,"['nkeng', 1]",bjargvætturin,1,"['nveng', 1]",TRUE,FALSE,1
bjartsýnn,29,"['lkensf', 29]",bjartsýn,16,"['lvensf', 11, 'lhfnsf', 5]",TRUE,FALSE,16
bjartsýnni,3,"['lkfnvm', 1, 'lvenvm', 1, 'lkenvm', 1]",bjartsýni,39,"['nven', 16, 'nveþ', 9, 'nveo', 8, 'nvee', 6]",TRUE,FALSE,3
blandinn,5,"['lkensf', 5]",blandin,18,"['lvensf', 17, 'lhfnsf', 1]",TRUE,FALSE,5
blágrænn,1,"['lkensf', 1]",blágræn,1,"['lhfosf', 1]",TRUE,FALSE,1
blágrænna,1,"['lvfesf', 1]",blágræna,1,"['lveosf', 1]",TRUE,FALSE,1
blásinn,4,"['lkensf', 4]",blásin,3,"['lhfosf', 1, 'lvensf', 1, 'lhfnsf', 1]",TRUE,FALSE,3
blendinn,2,"['lkensf', 2]",blendin,1,"['lhfnsf', 1]",TRUE,FALSE,1
boðinn,14,"['sþgken', 10, 'lkensf', 4]",boðin,64,"['sþgven', 35, 'sþghfn', 14, 'nhfng', 7, 'lvensf', 4, 'nhfog', 3, 'lhfnsf', 1]",TRUE,FALSE,14
bogadreginn,2,"['lkeosf', 1, 'lkensf', 1]",bogadregin,1,"['lvensf', 1]",TRUE,FALSE,1
boginn,14,"['nkeng', 7, 'lkensf', 7]",bogin,4,"['lvensf', 3, 'lhfnsf', 1]",TRUE,FALSE,4
bollann,41,"['nkeog', 41]",bollan,2,"['nveng', 2]",TRUE,FALSE,2
borðinn,3,"['nkeng', 3]",borðin,28,"['nhfog', 20, 'nhfng', 8]",TRUE,FALSE,3
borgaranna,4,"['nkfeg', 4]",borgarana,2,"['nkfog', 2]",TRUE,FALSE,2
borinn,107,"['sþgken', 85, 'nkeng', 14, 'lkensf', 5, 'nkeog', 3]",borin,82,"['sþgven', 57, 'sþghfn', 10, 'lvensf', 9, 'x', 6]",TRUE,FALSE,82
bólginn,5,"['lkensf', 5]",bólgin,9,"['lvensf', 7, 'lhfnsf', 2]",TRUE,FALSE,5
bragganna,5,"['nkfeg', 5]",braggana,3,"['nkfog', 3]",TRUE,FALSE,3
brandaranna,1,"['nkfeg', 1]",brandarana,6,"['nkfog', 6]",TRUE,FALSE,1
brattann,17,"['nkeog', 17]",brattan,3,"['lkeosf', 3]",TRUE,FALSE,3
bráðfyndinn,1,"['lkensf', 1]",bráðfyndin,1,"['lvensf', 1]",TRUE,FALSE,1
bráðinn,3,"['lkensf', 3]",bráðin,3,"['nveng', 3]",TRUE,FALSE,3
brennisteinn,22,"['nken', 22]",brennistein,30,"['nkeo', 30]",TRUE,FALSE,22
bretanna,9,"['nkfegs', 9]",bretana,12,"['nkfog', 12]",TRUE,FALSE,9
brostinn,7,"['lkensf', 7]",brostin,4,"['sþgven', 2, 'lhfnsf', 2]",TRUE,FALSE,4
