Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
báðar,336,"['fovfn', 239, 'fovfo', 97]",baðar,17,"['sfg3en', 16, 'sfg2en', 1]",True,False
brátt,275,"['aa', 273, 'lheosf', 2]",bratt,15,"['lhensf', 13, 'lheosf', 2]",False,False
ráða,574,"['sng', 429, 'sfg3fn', 76, 'nhfe', 65, 'nkfo', 2, 'nkfe', 1, 'nkeþ', 1]",raða,91,"['sng', 75, 'sfg3fn', 13, 'sfg1en', 1, 'nvfes', 1, 'nvfe', 1]",False,False
háttar,107,"['nkee', 89, 'sfg3en', 18]",hattar,5,"['nkfn', 3, 'nkee', 2]",False,False
hárri,50,"['lveþsf', 50]",harri,1,"['nkens', 1]",True,False
háfa,1,"['sng', 1]",hafa,10808,"['sng', 6459, 'sfg3fn', 4338, 'x', 9, 'nkfo', 1, 'nhfe', 1]",False,False
skák,43,"['nveþ', 32, 'nveo', 9, 'nven', 2]",skak,1,"['nheo', 1]",True,False
báða,152,"['fokfo', 152]",baða,78,"['sng', 49, 'nhfe', 25, 'sfg3fn', 3, 'sfg1en', 1]",True,False
ála,4,"['lveosf', 2, 'nkfos', 1, 'nkfo', 1]",ala,91,"['sng', 78, 'sfg3fn', 11, 'nkfe', 2]",True,False
spáð,32,"['sþghen', 24, 'ssg', 8]",spað,11,"['nheo', 11]",True,False
blási,4,"['svg3en', 3, 'svg1en', 1]",blasi,2,"['svg3en', 2]",False,False
ása,75,"['nvens', 61, 'nkfo', 5, 'nkees', 4, 'nkeþs', 3, 'nkfe', 1, 'sng', 1]",asa,6,"['nkeþ', 3, 'nkeo', 2, 'nkee', 1]",True,False
lát,71,"['nheo', 34, 'nhen', 24, 'nhfn', 7, 'lvensf', 3, 'sbg2en', 2, 'lhfnsf', 1]",lat,15,"['nhen', 10, 'nheo', 4, 'nvens', 1]",False,False
gráður,51,"['nvfo', 32, 'nvfn', 19]",graður,4,"['lkensf', 4]",True,False
háls,129,"['nkeo', 120, 'lheesf', 3, 'nkee', 2, 'nken', 2, 'nveo', 2]",hals,1,"['nkee', 1]",False,False
dást,32,"['snm', 28, 'sfm3fn', 4]",dast,2,"['sfg2eþ', 2]",True,False
mátt,476,"['sfg2en', 237, 'ssg', 162, 'nkeo', 77]",matt,11,"['e', 10, 'lhensf', 1]",True,False
fát,17,"['nheo', 10, 'nhen', 7]",fat,23,"['nheo', 17, 'e', 5, 'nhen', 1]",False,False
skápinn,31,"['nkeog', 31]",skapinn,1,"['nkeng', 1]",True,False
skáp,90,"['nkeþ', 54, 'nkeo', 36]",skap,57,"['nheo', 51, 'nhen', 6]",True,False
háttur,27,"['nken', 27]",hattur,11,"['nken', 11]",False,True
lás,52,"['nkeo', 31, 'nkeþ', 18, 'nken', 2, 'nkeþs', 1]",las,539,"['sfg3eþ', 360, 'sfg1eþ', 166, 'e', 13]",True,False
skápa,16,"['nkfo', 13, 'nkfe', 3]",skapa,121,"['sng', 106, 'sfg3fn', 13, 'nhfe', 1, 'nkee', 1]",True,False
blása,74,"['sng', 67, 'sfg3fn', 6, 'nven', 1]",blasa,36,"['sfg3fn', 19, 'sng', 17]",False,False
háttinn,65,"['nkeog', 65]",hattinn,62,"['nkeog', 62]",False,True
tápi,1,"['nheþ', 1]",tapi,16,"['nheþ', 14, 'svg3fn', 1, 'svg3en', 1]",False,False
sást,315,"['sfm3eþ', 275, 'sfg2eþ', 35, 'sfm1eþ', 3, 'snm', 1, 'sfm2eþ', 1]",sast,4,"['sfg2eþ', 4]",False,False
hámaði,10,"['sfg3eþ', 6, 'sfg1eþ', 4]",hamaði,1,"['sfg3eþ', 1]",False,False
lág,36,"['lvensf', 23, 'x', 7, 'lhfosf', 3, 'lhfnsf', 2, 'nveþ', 1]",lag,266,"['nheo', 210, 'nhen', 56]",True,False
skápar,3,"['nkfn', 3]",skapar,25,"['sfg3en', 25]",True,False
hál,3,"['lhfnsf', 1, 'lhfnsf', 1, 'lvensf', 1]",hal,18,"['nhen', 14, 'nkeþ', 2, 'nkeo', 2]",True,False
hálli,4,"['lveþsf', 4]",halli,116,"['nkens', 79, 'nken', 17, 'nkeþs', 12, 'svg3en', 5, 'lkenvf', 2, 'nheþs', 1]",True,False
lága,20,"['lveosf', 8, 'lheovf', 5, 'lheþvf', 3, 'lkfosf', 2, 'lkeovf', 1, 'lheevf', 1]",laga,204,"['nhfe', 106, 'sng', 91, 'sfg1en', 3, 'nkeþ', 2, 'sfg3fn', 1, 'nheo', 1]",True,False
skál,175,"['nveo', 89, 'nveþ', 34, 'nven', 24, 'nvens', 14, 'nveþs', 13, 'nhen', 1]",skal,1428,"['sfg3en', 859, 'sfg1en', 567, 'nhen', 1, 'nheo', 1]",False,False
át,102,"['sfg3eþ', 85, 'sfg1eþ', 11, 'au', 4, 'nhen', 1, 'nheo', 1]",at,137,"['e', 65, 'c', 43, 'as', 19, 'nheo', 7, 'sfg3eþ', 1, 'cn', 1, 'nhen', 1]",False,False
