Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
hlýðum,6,"['sfg1fn', 5, 'nvfþ', 1]",hlíðum,36,"['nvfþ', 31, 'nvfþs', 5]",FALSE,FALSE,6
hlýta,1,"['sng', 1]",hlíta,26,"['sng', 24, 'sfg3fn', 1, 'lhenvf', 1]",FALSE,FALSE,1
hrýs,5,"['sfg3en', 5]",hrís,4,"['nheo', 3, 'nken', 1]",TRUE,FALSE,4
hýði,5,"['nheþ', 5]",híði,4,"['nheþ', 3, 'nheo', 1]",FALSE,FALSE,4
hýra,3,"['lveosf', 1, 'lheþvf', 1, 'lkfosf', 1]",híra,1,"['sng', 1]",TRUE,FALSE,1
hýrast,1,"['snm', 1]",hírast,22,"['snm', 15, 'sfm3fn', 4, 'ssm', 2, 'sfm3en', 1]",FALSE,FALSE,1
hýrðust,1,"['sfm3fþ', 1]",hírðust,3,"['sfm3fþ', 3]",FALSE,TRUE,1
hýrst,1,"['ssm', 1]",hírst,3,"['ssm', 3]",FALSE,TRUE,1
klýfur,9,"['sfg3en', 9]",klífur,5,"['sfg3en', 4, 'sfg2en', 1]",FALSE,FALSE,5
krýlið,1,"['nheog', 1]",krílið,2,"['nheog', 1, 'nheng', 1]",FALSE,FALSE,1
krýp,9,"['sfg1en', 9]",kríp,2,"['nkeo', 2]",TRUE,FALSE,2
kýlum,3,"['sfg1fn', 2, 'nkfþ', 1]",kílum,1,"['nkfþ', 1]",FALSE,FALSE,1
ljóstýra,3,"['nven', 3]",ljóstíra,1,"['nven', 1]",FALSE,TRUE,1
ljóstýru,3,"['nveo', 2, 'nveþ', 1]",ljóstíru,3,"['nveo', 2, 'nveþ', 1]",FALSE,TRUE,3
ljóstýrur,3,"['nvfn', 2, 'nvfo', 1]",ljóstírur,2,"['nvfn', 2]",FALSE,FALSE,2
lýð,13,"['nkeo', 7, 'nkeþ', 6]",líð,3,"['sfg1en', 1, 'nhen', 1, 'nheo', 1]",TRUE,FALSE,3
lýða,1,"['nkfe', 1]",líða,439,"['sng', 350, 'sfg3fn', 89]",TRUE,FALSE,1
lýði,12,"['nkfo', 12]",líði,89,"['svg3en', 63, 'nheþ', 19, 'svg3fn', 6, 'svg1en', 1]",TRUE,FALSE,12
lýðum,2,"['nkfþ', 2]",líðum,3,"['sfg1fn', 3]",TRUE,FALSE,2
lýður,8,"['nken', 5, 'nkens', 3]",líður,540,"['sfg3en', 540]",TRUE,FALSE,8
lýk,11,"['sfg1en', 11]",lík,186,"['lvensf', 70, 'nhen', 35, 'nheo', 34, 'lhfnsf', 21, 'nhfo', 11, 'nhfn', 8, 'lhfosf', 3, 'nhens', 3, 'nven', 1]",TRUE,FALSE,11
lýkst,3,"['sfm3en', 3]",líkst,3,"['ssm', 3]",TRUE,FALSE,3
lýkur,144,"['sfg3en', 142, 'sfg2en', 1, 'sfg2fn', 1]",líkur,195,"['nvfn', 97, 'lkensf', 57, 'nvfo', 33, 'sfg3en', 8]",FALSE,FALSE,144
lýst,326,"['sþghen', 194, 'ssg', 126, 'lhfnsf', 3, 'lvensf', 2, 'sþghfn', 1]",líst,119,"['sfm3en', 118, 'ssg', 1]",FALSE,FALSE,119
lýt,5,"['sfg1en', 5]",lít,147,"['sfg1en', 143, 'sbg2en', 4]",FALSE,FALSE,5
lýta,5,"['nhfe', 3, 'sng', 2]",líta,880,"['sng', 791, 'sfg3fn', 89]",FALSE,FALSE,5
lýtið,1,"['nheng', 1]",lítið,1459,"['lhensf', 565, 'aa', 483, 'lheosf', 405, 'sbg2fn', 5, 'sfg2fn', 1]",TRUE,FALSE,1
lýtir,1,"['nken', 1]",lítir,2,"['svg2en', 2]",TRUE,FALSE,1
lýtur,50,"['sfg3en', 50]",lítur,763,"['sfg3en', 726, 'sfg2en', 35, 'sfg1fn', 1, 'sfg1en', 1]",FALSE,FALSE,50
mýla,1,"['sng', 1]",míla,1,"['nven', 1]",TRUE,FALSE,1
partý,11,"['nheo', 6, 'nhen', 4, 'nhfo', 1]",partí,61,"['nheo', 28, 'nhen', 18, 'nhfo', 13, 'nhfn', 2]",FALSE,FALSE,11
partýi,3,"['nheþ', 3]",partíi,12,"['nheþ', 12]",FALSE,TRUE,3
partýið,4,"['nheog', 4]",partíið,29,"['nheog', 18, 'nheng', 11]",FALSE,FALSE,4
partýinu,1,"['nheþg', 1]",partíinu,14,"['nheþg', 14]",FALSE,TRUE,1
rommý,1,"['nheo', 1]",rommí,3,"['nheo', 3]",FALSE,TRUE,1
rýf,2,"['sfg1en', 2]",ríf,6,"['sfg1en', 5, 'lhfnsf', 1]",FALSE,FALSE,2
rýfur,22,"['sfg3en', 21, 'sfg2en', 1]",rífur,54,"['sfg3en', 52, 'lkensf', 2]",FALSE,FALSE,22
rýk,6,"['sfg1en', 6]",rík,46,"['lvensf', 41, 'lhfnsf', 4, 'lhfosf', 1]",TRUE,FALSE,6
rýkur,67,"['sfg3en', 66, 'sfg2en', 1]",ríkur,53,"['lkensf', 53]",TRUE,FALSE,53
rýma,10,"['sng', 10]",ríma,17,"['sng', 11, 'sfg3fn', 5, 'nhfe', 1]",FALSE,FALSE,10
rými,46,"['nheo', 20, 'nhen', 14, 'nheþ', 12]",rími,4,"['nheþ', 3, 'svg3en', 1]",FALSE,FALSE,4
rýmið,20,"['nheog', 11, 'nheng', 9]",rímið,3,"['nheng', 2, 'nheog', 1]",FALSE,TRUE,3
rýminu,8,"['nheþg', 8]",ríminu,38,"['nheþg', 38]",FALSE,TRUE,8
skrýða,2,"['sng', 2]",skríða,147,"['sng', 132, 'sfg3fn', 15]",FALSE,FALSE,2
