Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
skútu,5,"['nveþ', 4, 'nveo', 1]",skutu,36,"['sfg3fþ', 36]",True,False
ryðbrúnnar,1,"['lveesf', 1]",ryðbrunnar,1,"['lvfosf', 1]",True,False
búnum,4,"['lhfþsf', 2, 'lkeþsf', 1, 'lvfþsf', 1]",bunum,4,"['nvfþ', 4]",True,False
brúnar,20,"['lvfosf', 12, 'lvfnsf', 7, 'sfg3en', 1]",brunar,13,"['sfg3en', 11, 'nkfn', 2]",False,False
súpum,4,"['nvfþ', 4]",supum,11,"['sfg1fþ', 11]",True,False
lúku,12,"['nveo', 10, 'nveþ', 2]",luku,19,"['sfg3fþ', 19]",True,False
brúnið,8,"['sbg2fn', 8]",brunið,1,"['nheng', 1]",True,False
brúnað,2,"['sþghen', 2]",brunað,4,"['lhensf', 4]",True,False
brúni,4,"['lkenvf', 4]",bruni,6,"['nken', 4, 'nkens', 2]",True,False
múlinn,4,"['nkeog', 3, 'nkeng', 1]",mulinn,12,"['nkeng', 6, 'lkensf', 4, 'lkeosf', 2]",False,False
júl,1,"['nhen', 1]",jul,8,"['nhen', 6, 'nheo', 1, 'nhfn', 1]",False,False
rúllu,5,"['nveo', 3, 'lkfþvf', 1, 'nveþ', 1]",rullu,2,"['nveo', 2]",False,False
kúrt,3,"['ssg', 3]",kurt,13,"['e', 12, 'nveo', 1]",True,False
brúnna,1,"['lhenvm', 1]",brunna,9,"['lveosf', 3, 'nkfe', 2, 'lheþvf', 1, 'nkfos', 1, 'nkfo', 1, 'lkeþvf', 1]",True,False
munúð,1,"['nven', 1]",munuð,19,"['sfg2fn', 19]",True,False
rúlluna,2,"['nveog', 2]",rulluna,6,"['nveog', 6]",False,True
kúnnum,6,"['nkfþ', 6]",kunnum,37,"['sfg1fn', 26, 'lkeþsf', 5, 'lkfþsf', 4, 'sfg1fþ', 1, 'lvfþsf', 1]",True,False
lúkka,2,"['sng', 1, 'sfg3fn', 1]",lukka,5,"['nven', 4, 'nvens', 1]",True,False
lútu,1,"['nveþ', 1]",lutu,17,"['sfg3fþ', 17]",True,False
eyrún,44,"['nvens', 44]",eyrun,146,"['nhfog', 123, 'nhfng', 23]",True,False
brúnuðum,5,"['lvfþsf', 5]",brunuðum,3,"['sfg1fþ', 2, 'lkeþsf', 1]",True,False
húla,1,"['nhee', 1]",hula,8,"['nven', 8]",True,False
rústar,1,"['sfg3en', 1]",rustar,1,"['nkfn', 1]",True,False
skúti,2,"['nken', 2]",skuti,1,"['nkeþ', 1]",True,False
lúkum,2,"['nvfþ', 2]",lukum,2,"['sfg1fþ', 2]",True,False
júða,6,"['nkfo', 3, 'nkee', 2, 'nkfe', 1]",juða,1,"['sng', 1]",True,False
gúffa,1,"['sng', 1]",guffa,25,"['nkees', 13, 'nkeþs', 8, 'nkeos', 4]",True,False
búlla,2,"['nven', 1, 'nvfe', 1]",bulla,34,"['sng', 28, 'sfg3fn', 2, 'nven', 2, 'nvens', 1, 'sfg1en', 1]",False,False
tjúll,1,"['nhen', 1]",tjull,1,"['nheo', 1]",True,False
tússa,1,"['sng', 1]",tussa,4,"['nven', 4]",True,False
sólbrúna,2,"['lveosf', 2]",sólbruna,7,"['nkeþ', 4, 'nkeo', 3]",True,False
brúnunum,3,"['nvfþg', 3]",brununum,1,"['nkfþg', 1]",True,False
þústu,1,"['nveo', 1]",þustu,32,"['sfg3fþ', 32]",True,False
húmar,1,"['sfg3en', 1]",humar,18,"['nken', 9, 'nkeo', 8, 'nkeþ', 1]",True,False
túða,1,"['nven', 1]",tuða,8,"['sng', 8]",True,False
búna,2,"['lveosf', 1, 'lkfosf', 1]",buna,11,"['sng', 5, 'nven', 4, 'sfg1en', 1, 'nvfe', 1]",True,False
lúlla,148,"['nvens', 73, 'nkeo', 40, 'nkeþ', 15, 'nkee', 12, 'sng', 5, 'sfg1en', 3]",lulla,7,"['sfg1en', 3, 'sbg2en', 2, 'sng', 2]",False,False
brúnuðu,1,"['sfg3fþ', 1]",brunuðu,10,"['sfg3fþ', 10]",False,True
gúlar,1,"['nkfn', 1]",gular,25,"['lvfnsf', 17, 'lvfosf', 8]",True,False
bússum,1,"['nvfþ', 1]",bussum,1,"['nkfþ', 1]",True,False
brúm,2,"['nvfþ', 2]",brum,3,"['nhen', 1, 'nheo', 1, 'nhfn', 1]",True,False
gúla,1,"['nkeo', 1]",gula,70,"['lheþvf', 15, 'lheovf', 12, 'lkeþvf', 11, 'lhenvf', 9, 'lveosf', 4, 'lkfosf', 4, 'nven', 4, 'sng', 3, 'sfg3fn', 2, 'lkeevf', 2, 'lheevf', 2, 'lkeovf', 1, 'lvenvf', 1]",True,False
gúllinn,2,"['nkeng', 2]",gullinn,3,"['lkeosf', 2, 'lkensf', 1]",True,False
skúrk,1,"['nkeo', 1]",skurk,5,"['nkeo', 3, 'nhen', 2]",False,False
púlsa,1,"['nkfo', 1]",pulsa,3,"['nven', 3]",True,False
flútti,1,"['nheþ', 1]",flutti,376,"['sfg3eþ', 319, 'sfg1eþ', 56, 'lkenvf', 1]",True,False
brúnaði,1,"['sfg3eþ', 1]",brunaði,22,"['sfg3eþ', 20, 'sfg1eþ', 2]",False,False
rúnka,2,"['sng', 1, 'nkeþs', 1]",runka,2,"['sng', 2]",False,False
