Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
skála,60,"['sng', 28, 'nkeþ', 12, 'nkee', 6, 'sfg3fn', 3, 'nkeo', 3, 'sfg1en', 2, 'nkfo', 2, 'nkeþs', 1, 'nkeos', 1, 'nhees', 1, 'nkfe', 1]",skala,11,"['nkeþ', 5, 'x', 3, 'nkfo', 2, 'nkeo', 1]",False,False,
skáka,6,"['sng', 5, 'sfg3fn', 1]",skaka,2,"['sng', 2]",False,False,
málaði,63,"['sfg3eþ', 54, 'sfg1eþ', 6, 'svg3eþ', 3]",malaði,17,"['sfg3eþ', 17]",False,False,
hátta,40,"['sng', 31, 'nkfe', 6, 'sfg1en', 2, 'sfg3fn', 1]",hatta,18,"['nkfo', 14, 'nkfe', 3, 'sng', 1]",False,False,
hrátt,13,"['lheosf', 8, 'lhensf', 5]",hratt,370,"['aa', 358, 'lhensf', 5, 'sfg3eþ', 4, 'lheosf', 2, 'sfg1eþ', 1]",False,False,
mátaði,16,"['sfg3eþ', 12, 'sfg1eþ', 4]",mataði,5,"['sfg3eþ', 5]",False,False,
rása,8,"['sng', 4, 'nhfe', 2, 'nvfe', 1, 'sfg3fn', 1]",rasa,8,"['sng', 6, 'nkeo', 2]",False,False,
mát,9,"['nkeo', 4, 'nhen', 4, 'nhfn', 1]",mat,546,"['nkeo', 250, 'nkeþ', 129, 'nhen', 83, 'nheo', 62, 'sfg3eþ', 12, 'sfg1eþ', 10]",False,False,
málar,18,"['sfg3en', 16, 'nkfn', 1, 'sfg2en', 1]",malar,8,"['nkfn', 3, 'sfg3en', 3, 'nvee', 1, 'nkee', 1]",False,False,
kálið,5,"['nheog', 3, 'nheng', 2]",kalið,6,"['nheng', 3, 'nheog', 2, 'ssg', 1]",False,False,
ráðhúsinu,14,"['nheþg', 8, 'nheþgs', 6]",raðhúsinu,4,"['nheþg', 4]",False,False,
ósátt,11,"['lvensf', 7, 'lhensf', 3, 'lhfnsf', 1]",ósatt,11,"['lheosf', 10, 'lhensf', 1]",False,False,
málaðir,8,"['sþgkfn', 5, 'sfg2eþ', 2, 'lkfnsf', 1]",malaðir,1,"['sfg2eþ', 1]",False,False,
