Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
dátt,18,"['aa', 18]",datt,509,"['sfg3eþ', 470, 'sfg1eþ', 38, 'sfg2eþ', 1]",True,False,
trássi,12,"['nheþ', 12]",trassi,1,"['nken', 1]",True,False,
kála,15,"['sng', 15]",kala,6,"['nkeo', 3, 'nkeþ', 2, 'nkeos', 1]",True,False,
andrá,112,"['nveþ', 105, 'nveo', 5, 'nven', 2]",andra,46,"['nvens', 12, 'nkeþs', 12, 'nkeos', 9, 'nkees', 9, 'sng', 2, 'sfg3fn', 1, 'nkeo', 1]",True,False,
hátti,2,"['svg3fn', 2]",hatti,8,"['nkeþ', 8]",True,False,
óráði,10,"['nheþ', 10]",óraði,16,"['sfg3eþ', 16]",True,False,
klára,101,"['sng', 81, 'sfg1en', 3, 'sfg3fn', 3, 'nkeþ', 3, 'lkfosf', 2, 'nkfo', 2, 'lveosf', 2, 'nven', 2, 'lvenvf', 1, 'lhenvf', 1, 'nkee', 1]",klara,56,"['nvens', 56]",True,False,
mágur,29,"['nken', 29]",magur,1,"['lkensf', 1]",True,False,
sáuð,11,"['sfg2fþ', 11]",sauð,30,"['sfg3eþ', 16, 'nkeo', 10, 'nkeþ', 3, 'sfg1eþ', 1]",True,False,
lágar,8,"['lvfnsf', 5, 'lvfosf', 2, 'nvfn', 1]",lagar,19,"['sfg3en', 16, 'nkfn', 3]",True,False,
dráp,7,"['nheo', 4, 'nhfo', 1, 'nhen', 1, 'nhfn', 1]",drap,118,"['sfg3eþ', 94, 'sfg1eþ', 24]",True,False,
bása,5,"['nkfos', 2, 'nkfo', 2, 'sng', 1]",basa,2,"['nkee', 1, 'nkeþ', 1]",True,False,
gráða,6,"['nven', 4, 'sfg3fn', 2]",graða,1,"['lveosf', 1]",True,False,
lásinn,15,"['nkeog', 11, 'nkeng', 4]",lasinn,22,"['lkensf', 22]",True,False,
háll,7,"['lkensf', 7]",hall,16,"['nkens', 7, 'e', 6, 'nhens', 1, 'nkeos', 1, 'nkeþs', 1]",True,False,
hváð,2,"['ssg', 2]",hvað,11582,"['fshen', 7641, 'fsheo', 3715, 'fohen', 133, 'foheo', 92, 'x', 1]",True,False,
tálar,6,"['nvfo', 6]",talar,422,"['sfg3en', 367, 'sfg2en', 55]",True,False,
fjári,7,"['nken', 7]",fjari,1,"['svg3en', 1]",True,False,
