Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
lokkaði,7,"['sfg3eþ', 6, 'sfg1eþ', 1]",loggaði,2,"['sfg3eþ', 1, 'sfg1eþ', 1]",False,True,
flakkandi,1,"['slg', 1]",flaggandi,1,"['slg', 1]",False,True,
bakkarnir,2,"['nkfng', 2]",baggarnir,2,"['nkfng', 2]",False,True,
vakki,5,"['nheþ', 5]",vaggi,1,"['nheþ', 1]",False,True,
bökkunum,7,"['nkfþg', 7]",böggunum,1,"['nkfþg', 1]",False,True,
bakkana,5,"['nkfog', 5]",baggana,3,"['nkfog', 3]",False,True,
hakka,4,"['sng', 4]",hagga,9,"['sng', 9]",False,True,
brakki,1,"['nken', 1]",braggi,11,"['nken', 11]",False,True,
stekknum,6,"['nkeþg', 6]",steggnum,2,"['nkeþg', 2]",False,True,
haggað,25,"['sþghen', 19, 'ssg', 6]",hagað,36,"['ssg', 26, 'sþghen', 10]",False,True,
veggina,61,"['nkfog', 61]",vegina,6,"['nkfog', 6]",False,True,
veggir,54,"['nkfn', 54]",vegir,38,"['nkfn', 38]",False,True,
dyggðir,9,"['nvfo', 6, 'nvfn', 3]",dygðir,5,"['nvfo', 4, 'nvfn', 1]",False,True,
huggaði,22,"['sfg3eþ', 16, 'sfg1eþ', 6]",hugaði,3,"['sfg3eþ', 2, 'sfg1eþ', 1]",False,True,
loggaði,2,"['sfg3eþ', 1, 'sfg1eþ', 1]",logaði,64,"['sfg3eþ', 63, 'sfg1eþ', 1]",False,True,
veggirnir,50,"['nkfng', 50]",vegirnir,3,"['nkfng', 3]",False,True,
veggurinn,26,"['nkeng', 26]",vegurinn,57,"['nkeng', 57]",False,True,
hugguðu,1,"['sfg3fþ', 1]",huguðu,4,"['sfg3fþ', 4]",False,True,
baggi,3,"['nken', 3]",bagi,1,"['nken', 1]",False,True,
þaggað,5,"['ssg', 3, 'lhensf', 2]",þagað,30,"['ssg', 24, 'lhensf', 6]",False,True,
vaggandi,4,"['slg', 4]",vagandi,2,"['slg', 2]",False,True,
austurvegginn,2,"['nkeog', 2]",austurveginn,1,"['nkeog', 1]",False,True,
hugguð,1,"['lvensf', 1]",huguð,2,"['lvensf', 2]",False,True,
milliveggur,1,"['nken', 1]",millivegur,1,"['nken', 1]",False,True,
flaggi,2,"['nheþ', 2]",flagi,3,"['nheþ', 3]",False,True,
dyggða,2,"['nvfe', 2]",dygða,2,"['nvfe', 2]",False,True,
orkaði,17,"['sfg3eþ', 17]",orgaði,18,"['sfg3eþ', 18]",False,True,
köflum,71,"['nkfþ', 71]",göflum,7,"['nkfþ', 7]",False,True,
kotinu,17,"['nheþg', 17]",gotinu,1,"['nheþg', 1]",False,True,
